Timestamp,Temperature_C
2025-12-23 09:39:06,25.32
2025-12-23 09:39:07,25.14
2025-12-23 09:39:08,29.43
2025-12-23 09:39:09,29.80
2025-12-23 09:39:10,24.46
2025-12-23 09:39:11,29.50
2025-12-23 09:39:12,22.15
2025-12-23 09:39:13,27.62
2025-12-23 09:39:14,24.54
2025-12-23 09:39:15,24.71
2025-12-23 09:39:16,22.76
2025-12-23 09:39:17,23.22
2025-12-23 09:39:18,22.92
2025-12-23 09:39:19,24.48
2025-12-23 09:39:20,23.42
2025-12-23 09:39:21,29.33
2025-12-23 09:39:22,24.32
2025-12-23 09:39:23,23.83
2025-12-23 09:39:24,28.54
2025-12-23 09:39:25,25.04
2025-12-23 09:39:26,29.85
2025-12-23 09:39:27,23.08
2025-12-23 09:39:28,24.48
2025-12-23 09:39:29,20.36
2025-12-23 09:39:30,23.47
2025-12-23 09:39:31,27.04
2025-12-23 09:39:32,29.99
2025-12-23 09:39:33,20.39
2025-12-23 09:39:34,23.24
2025-12-23 09:39:35,23.10
2025-12-23 09:39:36,25.05
2025-12-23 09:39:37,20.80
2025-12-23 09:39:38,27.23
2025-12-23 09:39:39,22.39
2025-12-23 09:39:40,21.06
2025-12-23 09:39:41,26.99
2025-12-23 09:39:42,23.64
2025-12-23 09:39:43,28.56
2025-12-23 09:39:44,20.43
2025-12-23 09:39:45,21.11
2025-12-23 09:39:46,22.80
2025-12-23 09:39:47,22.58
2025-12-23 09:39:48,20.49
2025-12-23 09:39:49,25.53
2025-12-23 09:39:50,26.74
2025-12-23 09:39:51,23.47
2025-12-23 09:39:52,21.10
2025-12-23 09:39:53,22.90
2025-12-23 09:39:54,21.10
2025-12-23 09:39:55,20.27
